"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 11 17:13:23 CST 2021","Sat Sep 11 17:13:25 CST 2021","1647","testcase","test_login_error_2","Test_login_error","","","test_login_error_2",""
"broken","Sat Sep 11 17:13:02 CST 2021","Sat Sep 11 17:13:09 CST 2021","6871","testcase","test_login_ok","Test_login","","","test_login_ok",""
